cell_x,cell_y,species,initial_n,start_date,current_date,day,germination ,c_germinated,c_removed_mouldy,current_n,day_temp,night_temp,viable_n
b,4,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,4,0,6,36.3,19.43,10
b,5,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,5,0,5,36.09,24.05,10
b,6,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,1,9,34.44,28.63,10
b,7,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,3,0,7,35.59,33.37,10
c,1,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,1,8,0,2,30.6,4.42,10
c,2,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,1,5,0,5,30.6,9.47,10
c,3,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,7,0,3,30.47,13.9,10
c,4,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,7,0,3,30.43,18.73,10
c,5,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,7,0,3,30,23.53,10
c,6,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,6,0,4,30.01,28.07,10
d,1,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,5,0,5,24.91,3.97,10
d,2,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,4,0,6,24.96,9.13,10
d,3,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,1,6,0,4,24.9,13.8,10
d,4,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,7,0,3,24.94,18.4,10
d,5,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,5,0,5,24.77,23.08,10
e,1,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,1,1,0,9,20.13,3.75,10
e,2,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,1,0,9,20.14,8.68,10
e,3,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,3,1,6,20.11,13.2,10
e,4,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,7,0,3,20.16,17.97,10
f,1,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,0,10,14.71,3.12,10
f,2,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,0,10,15.13,8.58,10
f,3,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,0,10,15,13.02,10
g,1,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,0,10,9.4,3.1,10
g,2,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,0,10,9.79,8.07,10
h,1,Alectryon subdentatus,10,17/02/2021,17/03/2021,28,0,0,0,10,3.1,2.5,10
a,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,42.93,4.98,10
a,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,42.33,10.28,10
a,3,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,42.16,15.02,10
a,4,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,42.14,19.82,10
a,5,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,42,24.42,10
a,6,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,41.67,29.13,10
a,7,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,41.37,34.17,10
a,8,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,1,0,9,41.24,39.5,10
b,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,6,0,4,36.63,5.12,10
b,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,36.49,10.03,10
b,3,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,36.44,14.73,10
b,4,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,4,0,6,36.3,19.43,10
b,5,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,36.09,24.05,10
b,6,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,1,9,34.44,28.63,10
b,7,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,3,0,7,35.59,33.37,10
c,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,8,0,2,30.6,4.42,10
c,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,30.6,9.47,10
c,3,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,7,0,3,30.47,13.9,10
c,4,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,7,0,3,30.43,18.73,10
c,5,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,7,0,3,30,23.53,10
c,6,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,6,0,4,30.01,28.07,10
d,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,24.91,3.97,10
d,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,4,0,6,24.96,9.13,10
d,3,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,6,0,4,24.9,13.8,10
d,4,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,7,0,3,24.94,18.4,10
d,5,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,5,0,5,24.77,23.08,10
e,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,1,0,9,20.13,3.75,10
e,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,1,0,9,20.14,8.68,10
e,3,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,3,1,6,20.11,13.2,10
e,4,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,7,0,3,20.16,17.97,10
f,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,14.71,3.12,10
f,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,15.13,8.58,10
f,3,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,15,13.02,10
g,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,9.4,3.1,10
g,2,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,9.79,8.07,10
h,1,Alectryon subdentatus,10,17/02/2021,19/03/2021,30,0,0,0,10,3.1,2.5,10
a,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,42.93,4.98,10
a,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,42.33,10.28,10
a,3,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,42.16,15.02,10
a,4,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,42.14,19.82,10
a,5,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,5,0,5,42,24.42,10
a,6,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,41.67,29.13,10
a,7,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,41.37,34.17,10
a,8,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,1,0,9,41.24,39.5,10
b,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,1,7,0,3,36.63,5.12,10
b,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,5,0,5,36.49,10.03,10
b,3,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,5,0,5,36.44,14.73,10
b,4,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,4,0,6,36.3,19.43,10
b,5,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,5,0,5,36.09,24.05,10
b,6,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,1,9,34.44,28.63,10
b,7,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,3,0,7,35.59,33.37,10
c,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,8,0,2,30.6,4.42,10
c,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,5,0,5,30.6,9.47,10
c,3,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,7,0,3,30.47,13.9,10
c,4,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,7,0,3,30.43,18.73,10
c,5,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,7,0,3,30,23.53,10
c,6,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,6,0,4,30.01,28.07,10
d,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,1,6,0,4,24.91,3.97,10
d,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,4,0,6,24.96,9.13,10
d,3,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,6,0,4,24.9,13.8,10
d,4,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,7,0,3,24.94,18.4,10
d,5,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,5,0,5,24.77,23.08,10
e,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,1,2,0,8,20.13,3.75,10
e,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,1,0,9,20.14,8.68,10
e,3,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,3,1,6,20.11,13.2,10
e,4,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,7,0,3,20.16,17.97,10
f,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,14.71,3.12,10
f,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,15.13,8.58,10
f,3,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,15,13.02,10
g,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,9.4,3.1,10
g,2,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,9.79,8.07,10
h,1,Alectryon subdentatus,10,17/02/2021,24/03/2021,35,0,0,0,10,3.1,2.5,10
a,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,42.93,4.98,10
a,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,42.33,10.28,10
a,3,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,42.16,15.02,10
a,4,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,42.14,19.82,10
a,5,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,5,0,5,42,24.42,10
a,6,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,41.67,29.13,10
a,7,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,41.37,34.17,10
a,8,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,1,0,9,41.24,39.5,10
b,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,7,0,3,36.63,5.12,10
b,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,1,6,0,4,36.49,10.03,10
b,3,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,5,0,5,36.44,14.73,10
b,4,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,4,0,6,36.3,19.43,10
b,5,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,5,0,5,36.09,24.05,10
b,6,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,1,9,34.44,28.63,10
b,7,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,3,0,7,35.59,33.37,10
c,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,8,0,2,30.6,4.42,10
c,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,5,0,5,30.6,9.47,10
c,3,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,7,0,3,30.47,13.9,10
c,4,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,7,0,3,30.43,18.73,10
c,5,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,7,0,3,30,23.53,10
c,6,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,6,0,4,30.01,28.07,10
d,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,1,7,0,3,24.91,3.97,10
d,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,4,0,6,24.96,9.13,10
d,3,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,6,0,4,24.9,13.8,10
d,4,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,7,0,3,24.94,18.4,10
d,5,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,5,0,5,24.77,23.08,10
e,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,2,0,8,20.13,3.75,10
e,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,1,0,9,20.14,8.68,10
e,3,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,3,1,6,20.11,13.2,10
e,4,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,7,0,3,20.16,17.97,10
f,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,14.71,3.12,10
f,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,15.13,8.58,10
f,3,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,15,13.02,10
g,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,9.4,3.1,10
g,2,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,9.79,8.07,10
h,1,Alectryon subdentatus,10,17/02/2021,26/03/2021,37,0,0,0,10,3.1,2.5,10
a,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,42.93,4.98,10
a,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,42.33,10.28,10
a,3,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,42.16,15.02,10
a,4,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,42.14,19.82,10
a,5,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,5,0,5,42,24.42,10
a,6,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,41.67,29.13,10
a,7,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,41.37,34.17,10
a,8,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,1,0,9,41.24,39.5,10
b,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,36.63,5.12,10
b,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,1,7,0,3,36.49,10.03,10
b,3,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,5,0,5,36.44,14.73,10
b,4,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,4,0,6,36.3,19.43,10
b,5,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,5,0,5,36.09,24.05,10
b,6,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,1,9,34.44,28.63,10
b,7,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,3,0,7,35.59,33.37,10
c,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,8,0,2,30.6,4.42,10
c,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,5,0,5,30.6,9.47,10
c,3,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,30.47,13.9,10
c,4,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,30.43,18.73,10
c,5,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,30,23.53,10
c,6,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,6,0,4,30.01,28.07,10
d,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,24.91,3.97,10
d,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,4,0,6,24.96,9.13,10
d,3,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,6,0,4,24.9,13.8,10
d,4,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,24.94,18.4,10
d,5,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,5,0,5,24.77,23.08,10
e,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,2,0,8,20.13,3.75,10
e,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,1,0,9,20.14,8.68,10
e,3,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,3,1,6,20.11,13.2,10
e,4,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,7,0,3,20.16,17.97,10
f,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,14.71,3.12,10
f,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,15.13,8.58,10
f,3,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,15,13.02,10
g,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,9.4,3.1,10
g,2,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,9.79,8.07,10
h,1,Alectryon subdentatus,10,17/02/2021,29/03/2021,40,0,0,0,10,3.1,2.5,10
a,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,42.93,4.98,10
a,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,42.33,10.28,10
a,3,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,42.16,15.02,10
a,4,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,42.14,19.82,10
a,5,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,5,0,5,42,24.42,10
a,6,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,41.67,29.13,10
a,7,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,41.37,34.17,10
a,8,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,1,0,9,41.24,39.5,10
b,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,36.63,5.12,10
b,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,36.49,10.03,10
b,3,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,5,0,5,36.44,14.73,10
b,4,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,4,0,6,36.3,19.43,10
b,5,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,5,0,5,36.09,24.05,10
b,6,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,1,9,34.44,28.63,10
b,7,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,3,0,7,35.59,33.37,10
c,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,8,0,2,30.6,4.42,10
c,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,5,0,5,30.6,9.47,10
c,3,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,30.47,13.9,10
c,4,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,30.43,18.73,10
c,5,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,30,23.53,10
c,6,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,6,0,4,30.01,28.07,10
d,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,24.91,3.97,10
d,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,1,5,0,5,24.96,9.13,10
d,3,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,6,0,4,24.9,13.8,10
d,4,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,24.94,18.4,10
d,5,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,5,0,5,24.77,23.08,10
e,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,2,0,8,20.13,3.75,10
e,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,1,0,9,20.14,8.68,10
e,3,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,3,1,6,20.11,13.2,10
e,4,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,7,0,3,20.16,17.97,10
f,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,14.71,3.12,10
f,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,15.13,8.58,10
f,3,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,15,13.02,10
g,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,9.4,3.1,10
g,2,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,9.79,8.07,10
h,1,Alectryon subdentatus,10,17/02/2021,31/03/2021,42,0,0,0,10,3.1,2.5,10
